Title,year,dominant_topic,topic_label
Application and implementation of the Supply Chain Operations Reference (SCOR) model at the United States Department of Defense (DoD),2012,2,"Topic 3: process, management, business"
Identifying operations research systems analysts' technical competencies: A Delphi approach,2012,0,"Topic 1: army, organizational, program"
An Organizational Analysis of Strategic Sourcing in the U.S. Department of Defense,2012,0,"Topic 1: army, organizational, program"
Lean six sigma saves lives,2011,2,"Topic 3: process, management, business"
USARCENT: A Day in the Life . . .,2011,3,"Topic 4: would, operation, air"
TOWARDS A CULTURE OF RISK MANAGEMENT,2011,2,"Topic 3: process, management, business"
Prospecting the Frontiers of Logistics Research: Army Logistician,2011,0,"Topic 1: army, organizational, program"
"Meanwhile, IN THE real world...: IE",2011,1,"Topic 2: system, model, used"
An Elite Crew,2011,2,"Topic 3: process, management, business"
"A Case Study of the U.S. Army Human Resources Command in Army Business Transformation: Measuring Psychological Capital, Resistance to Change, and Organizational Citizenship Behavior to Understand the Role of Positive Organizational Behavior in the Context of Organizational Change",2011,0,"Topic 1: army, organizational, program"
"The Congress and DOD Management Process: Space Acquisition, a Critique and Evaluation",2011,0,"Topic 1: army, organizational, program"
ARCHITECT: The architecture-based technology evaluation and capability tradeoff method,2011,1,"Topic 2: system, model, used"
Lean Six Sigma deployment: Improving Green Belt productivity,2011,2,"Topic 3: process, management, business"
Assessment of methods for monitoring responses to river restoration: Riverbed and channel form changes,2011,1,"Topic 2: system, model, used"
"Development of Knowledge, Skills, and Abilities as Core Competencies for Technology Protection Professionals",2011,0,"Topic 1: army, organizational, program"
A quantitative study of military career transitions with emphasis in knowledge management,2011,0,"Topic 1: army, organizational, program"
"A framework for evaluating technology readiness, system quality, and program performance of U.S. DoD acquisitions",2011,2,"Topic 3: process, management, business"
From the Swamp to the High Ground and Back: Army Logistician,2011,0,"Topic 1: army, organizational, program"
Building Information Management (BIM) Implementation in Naval Construction,2011,2,"Topic 3: process, management, business"
Some aspects of the behaviour of pelagic species species off Angola and its implication on biomass estimation,2011,1,"Topic 2: system, model, used"
Testing Software Development Project Productivity Model,2011,1,"Topic 2: system, model, used"
"Responding to Secretary Gates' Challenge to Eliminate Waste: The Time for a True Government/Industry ""Team Effort"" Is Now!",2010,2,"Topic 3: process, management, business"
Whitman Executive Education for the Department of Defense,2010,0,"Topic 1: army, organizational, program"
DIAGNOSING PERFORMANCE MANAGEMENT AND PERFORMANCE BUDGETING SYSTEMS: A CASE STUDY OF THE U.S. NAVY,2010,2,"Topic 3: process, management, business"
General Dynamics Information Technology: Delivering Full Spectrum Logistics,2010,3,"Topic 4: would, operation, air"
Exploring Methods of Improving Software Testing to Enhance Domestic Software Development Competitiveness,2010,1,"Topic 2: system, model, used"
Characteristics of successful collaboration in defense contract management: A study at Fort Irwin Army National Training Center,2010,0,"Topic 1: army, organizational, program"
United States Air Force reenlistment: Factors affecting a first-term Airman's decision to reenlist during a period of war,2010,0,"Topic 1: army, organizational, program"
Factors influencing intent to persist in higher education of participants in U.S. Army Reserve Officer Training Corps (ROTC) programs,2010,0,"Topic 1: army, organizational, program"
Presidential executive orders and energy conservation in the United States federal government: An analysis of conservation methodologies in a Department of Defense naval hospital,2010,1,"Topic 2: system, model, used"
Utilizing knowledge transfer to promote management of countervailing risks in value stream analysis,2010,2,"Topic 3: process, management, business"
An investigation of supply chain management in the 21st century: A case study of supplier relationship management through strategic partnering with the Defense Logistics Agency,2010,2,"Topic 3: process, management, business"
Factors influencing organizational change in the Department of Defense,2010,0,"Topic 1: army, organizational, program"
On optimizing the allocation of resources in project-based organizations: A public-sector case study,2010,1,"Topic 2: system, model, used"
DoD's Financial Audit Strategy: THE WAY AHEAD,2010,2,"Topic 3: process, management, business"
Joint -service integration: An organizational culture study of the United States Department of Defense voluntary education system,2010,0,"Topic 1: army, organizational, program"
Optimizing the Decision Rule of a GPS Integrity Monitoring System for Improved Availability,2010,1,"Topic 2: system, model, used"
Information assurance within the United States Air Force,2010,0,"Topic 1: army, organizational, program"
Exploring the impact of the Clinger-Cohen Act on information technology governance: A phenomenological study,2010,0,"Topic 1: army, organizational, program"
DoD COMPTROLLER WORKFORCE of the FUTURE,2009,0,"Topic 1: army, organizational, program"
Defense Watch,2009,2,"Topic 3: process, management, business"
Business Transformation Agency Exhibits at Lean Six Sigma for Defense Symposium,2009,2,"Topic 3: process, management, business"
Enabling Suppliers for New Build Activity,2009,2,"Topic 3: process, management, business"
NATIONAL DEFENSE TRANSPORTATION ASSOCIATION,2009,0,"Topic 1: army, organizational, program"
Whither the Defense Budget? Countervailing Pressures and Process Challenges,2009,2,"Topic 3: process, management, business"
The Chief Financial Officer Academy: Meeting Strategic Training Needs,2009,2,"Topic 3: process, management, business"
"WEST COAST BASING OF THE MV-22, SOUTHERN CALIFORNIA AND SOUTHERN ARIZONA. [Part 12 of 12]",2009,3,"Topic 4: would, operation, air"
"WEST COAST BASING OF THE MV-22, SOUTHERN CALIFORNIA AND SOUTHERN ARIZONA. [Part 9 of 9]",2009,3,"Topic 4: would, operation, air"
Re-Engineering USAF Avionics Maintenance: Lean Challenges,2009,3,"Topic 4: would, operation, air"
Naval Approach to Decision Making,2009,2,"Topic 3: process, management, business"
FEATURED ORGANIZATION: U.S. Marine Corps,2009,2,"Topic 3: process, management, business"
Ensuring the Best Defense,2009,2,"Topic 3: process, management, business"
DoD acquisition workforce education: An SBA education case study,2009,0,"Topic 1: army, organizational, program"
Assessing workers' true and perceived sense of urgency during strategic change: A descriptive and correlational examination,2009,0,"Topic 1: army, organizational, program"
Exploring the requirements for full-time manning within the Army National Guard,2009,0,"Topic 1: army, organizational, program"
Integrated test and evaluation (T&E) management: The Information Mission Assessment Tool (IMAT) prototype,2009,1,"Topic 2: system, model, used"
The formation of Collaborative Inter- Organizational Networks,2009,0,"Topic 1: army, organizational, program"
The impact upon key performance measures in applying lean enterprise initiatives by defense contractors,2009,2,"Topic 3: process, management, business"
A case study of collaborative communications within the U.S. Army Medical Department logistics community,2009,0,"Topic 1: army, organizational, program"
Defining and using the subject matter expert's role in transforming Army training and education programs,2009,0,"Topic 1: army, organizational, program"
Optoelectronic three-dimensional tracking system for collision risk model,2009,1,"Topic 2: system, model, used"
A framework for implementing systems engineering development of complex systems,2009,1,"Topic 2: system, model, used"
Regression analysis of automatic measurement systems,2009,1,"Topic 2: system, model, used"
Education technology impact on Department of Defense financial manager continuing professional education programs,2009,0,"Topic 1: army, organizational, program"
Visual Programming in a Heterogeneous Multi-Core Environment,2009,2,"Topic 3: process, management, business"
Advice for the SecDef,2009,2,"Topic 3: process, management, business"
Hypoxic transcription gene profiles under the modulation of nitric oxide in nuclear run on-microarray and proteomics,2009,1,"Topic 2: system, model, used"
Application of Systems Engineering Processes to DOD Science and Technology Research and Development Projects,2009,1,"Topic 2: system, model, used"
Reforming Financial Management at the DEPARTMENT of DEFENSE,2008,2,"Topic 3: process, management, business"
Carrier Association Reporting System: Army Logistician,2008,2,"Topic 3: process, management, business"
"408 PERMISSION AND 404 PERMIT TO SACRAMENTO AREA FLOOD CONTROL AGENCY FOR THE NATOMAS LEVEE IMPROVEMENT PROJECT, SACRAMENTO, CALIFORNIA. [Part 2 of 4]",2008,3,"Topic 4: would, operation, air"
COMMISSIONED OFFICER CODES,2008,3,"Topic 4: would, operation, air"
GOVERNMENT-OWNED CONTAINERS PROVE TO BE COST EFFECTIVE: ARMY LOGISTICIAN,2008,0,"Topic 1: army, organizational, program"
Logistics Transformation: DoD's Opportunity to Partner with the Private Sector - A Time for Action,2008,2,"Topic 3: process, management, business"
"Organizational learning, leadership and culture: A study of program managers in the Department of Defense",2008,0,"Topic 1: army, organizational, program"
"Army leadership and human resource processes to attract, retain, reward, and develop a civilian workforce",2008,0,"Topic 1: army, organizational, program"
U.S. Army Corps of Engineers 2012: A phenomenological case study of organizational change in the headquarters of the U.S. Army Corps of Engineers,2008,0,"Topic 1: army, organizational, program"
Exploring business model efficiency on U.S. Air Force information technology investment management,2008,2,"Topic 3: process, management, business"
Comparing leadership competencies of U.S. Army Generals and U.S. Army civilian senior executives: A case study,2008,0,"Topic 1: army, organizational, program"
Enterprise resource planning implementations within the U.S. Department of Defense: The effectiveness of department and individual programmatic governance in improving data and information environment quality,2008,2,"Topic 3: process, management, business"
Employee retention and succession planning for a Department of the Navy program office,2008,0,"Topic 1: army, organizational, program"
The economics of enterprise transformation: An analysis of the defense acquisition system,2008,2,"Topic 3: process, management, business"
Teenagers doing history out-of-school: An intrinsic case study of situated learning in history,2008,0,"Topic 1: army, organizational, program"
Optimization models in support of Performance Based Logistics (PBL) contracts,2008,1,"Topic 2: system, model, used"
"Supplier quality assurance: Contract administration quality assurance program for ship repair, overhaul, and conversion",2008,2,"Topic 3: process, management, business"
A grounded theory of U.S. Army installation realignment and closure leadership characteristics,2008,0,"Topic 1: army, organizational, program"
The impact of help center workforce competency on service effectiveness: The National Systems for Geospatial -Intelligence (NSG) case study,2008,0,"Topic 1: army, organizational, program"
An extension and application of systems engineering tools to the development of a formal method for CAIV implementation,2008,1,"Topic 2: system, model, used"
The Virtual Footlocker,2008,2,"Topic 3: process, management, business"
PROFESSIONAL DEVELOPMENT,2007,2,"Topic 3: process, management, business"
Defense Watch,2007,3,"Topic 4: would, operation, air"
Army Materiel Command: It's All About the Soldier,2007,0,"Topic 1: army, organizational, program"
Learning That Could Save Lives,2007,3,"Topic 4: would, operation, air"
PRESIDENT'S CORNER,2007,1,"Topic 2: system, model, used"
Wexford Announces New Corporate Path,2007,2,"Topic 3: process, management, business"
Commissioned officer codes,2007,3,"Topic 4: would, operation, air"
61st Annual NDTA Transportation and Logistics FORUM & EXPOSITION,2007,2,"Topic 3: process, management, business"
Letters,2007,2,"Topic 3: process, management, business"
"Lean Uniforms: Cutting the ""Waste"" Line",2007,2,"Topic 3: process, management, business"
U.S. Department of Defense: David V. Pauling,2007,2,"Topic 3: process, management, business"
Characterizing high-energy-density propellants for space propulsion applications,2007,1,"Topic 2: system, model, used"
Leadership and safety climate in high -risk military organizations,2007,2,"Topic 3: process, management, business"
Leanness and agility in job shops: A framework for a survey instrument developed using the Delphi method,2007,1,"Topic 2: system, model, used"
Does money really matter? The effects of organizational finances on quality of health care,2007,0,"Topic 1: army, organizational, program"
A qualitative case study of employee effectiveness using information technology in federal law enforcement agencies,2007,0,"Topic 1: army, organizational, program"
United States Navy admirals and civilian senior executives: An investigation of Navy leadership,2007,0,"Topic 1: army, organizational, program"
Fleet Management At Fort Rucker,2007,3,"Topic 4: would, operation, air"
LEDC Extreme Makeover: Army Logistician,2007,0,"Topic 1: army, organizational, program"
Modernizing Logistics Business Systems - Achieving World Class Performance,2007,2,"Topic 3: process, management, business"
Metrics Forecast for Post Implementation of PASSIVE RFID TECHNOLOGY,2006,2,"Topic 3: process, management, business"
Lean Manufacturing and the Army Industrial Base: Army Logistician,2006,2,"Topic 3: process, management, business"
"'Faster, More Agile, Less Bureaucratic'",2006,3,"Topic 4: would, operation, air"
"Priorities: Readiness, Recruiting, Retaining and Transforming the Force",2006,2,"Topic 3: process, management, business"
Transforming & Restructuring Today's Army,2006,3,"Topic 4: would, operation, air"
"With Updates to EA and CM, Telelogic Hits ALM Suite Spot",2006,1,"Topic 2: system, model, used"
AUSA Sustaining Member Profile: WestWind,2006,2,"Topic 3: process, management, business"
"ADDITION OF MANEUVER TRAINING LAND AT FORT IRWIN, SAN BERNARDINO COUNTY, CALIFORNIA (FINAL SUPPLEMENT TO THE DRAFT ENVIRONMENTAL IMPACT STATEMENT OF DECEMBER 1996). TO THE CALIFORNIA DESERT CONSERVATION AREA PLAN. [Part 11 of 11]",2006,3,"Topic 4: would, operation, air"
"Army Aviation becomes an essential arm: From the Howze Board to the modular force, 1962–2004",2006,0,"Topic 1: army, organizational, program"
Strategic communications in the systems age: A unified theory in complex adaptive information environments,2006,0,"Topic 1: army, organizational, program"
Optimization for finite element modeling of electronic components under dynamic loading,2006,1,"Topic 2: system, model, used"
The human element of organizational transformation: A phenomenographic study of how internal stakeholders in Federal defense organizations experience and make sense of planned organizational change,2006,0,"Topic 1: army, organizational, program"
Transformation of organizational legacy logistics systems and facilitating an integrated lean enterprise: A case study within the United States Army,2006,2,"Topic 3: process, management, business"
Defense Program Overruns: Same Old Song,2006,2,"Topic 3: process, management, business"
"Department of the Navy Business Transformation: The Road to a ""Clean"" Opinion",2006,2,"Topic 3: process, management, business"
Leaning the Antideficiency Act Process,2006,2,"Topic 3: process, management, business"
Department of the Navy Lean Six Sigma: A Financial Journey,2006,2,"Topic 3: process, management, business"
Strategic communication in the systems age: A unified theory in complex adaptive information environments,2006,0,"Topic 1: army, organizational, program"
Clearing THE PAPER TRAIL,2005,2,"Topic 3: process, management, business"
NAVAIR Depot North Island in California received,2005,2,"Topic 3: process, management, business"
Transforming Aerospace Metal Finishing Processes,2005,1,"Topic 2: system, model, used"
Raytheon Integrates Its Supply Chain To Deliver 'Mission Assurance',2005,2,"Topic 3: process, management, business"
COMMERCIAL SOFTWARE MARCHES TO BATTLE,2005,0,"Topic 1: army, organizational, program"
A COAST GUARD for the 21st Century,2005,0,"Topic 1: army, organizational, program"
Implementing Lean,2005,2,"Topic 3: process, management, business"
Why the Navy needs commercial shipbuilding,2005,2,"Topic 3: process, management, business"
TSPI gets CMMI Level 3 assessment,2005,1,"Topic 2: system, model, used"
Learning partnerships Government and industry execs go back to school: [1],2005,2,"Topic 3: process, management, business"
An innovative approach to schedule management on the F /A-22 Major Defense Acquisition Program (MDAP): Demonstration of critical Chain Project Management,2005,1,"Topic 2: system, model, used"
A comparison of three hydrological simulations in a northern environment,2005,1,"Topic 2: system, model, used"
Visionary technology leadership from Admiral Hyman G. Rickover to masters of the information age,2005,0,"Topic 1: army, organizational, program"
Substitutes for job satisfaction: Family -supportive programs,2005,2,"Topic 3: process, management, business"
Business process characterization using categorical data models,2005,2,"Topic 3: process, management, business"
PUTTING VALUE BACK INTO ENGINEERING,2005,1,"Topic 2: system, model, used"
Learning partnerships Government and industry execs go back to school,2005,2,"Topic 3: process, management, business"
"CONSTRUCTION AND OPERATION OF THE NATIONAL BIODEFENSE ANALYSIS AND COUNTERMEASURES CENTER (NBACC) FACILITY BY THE DEPARTMENT OF HOMELAND SECURITY AT FORT DETRICK, MARYLAND. [Part 1 of 1]",2004,3,"Topic 4: would, operation, air"
DEFENSE TRANSPORTATION COORDINATION INITIATIVE,2004,0,"Topic 1: army, organizational, program"
Wal-Mart and DoD Unscramble RFID Buzz,2004,2,"Topic 3: process, management, business"
Achieving Focused Logistics,2004,2,"Topic 3: process, management, business"
"CONSTRUCTION AND OPERATION OF THE NATIONAL BIODEFENSE ANALYSIS AND COUNTERMEASURES CENTER (NBACC) FACILITY BY THE DEPARTMENT OF HOMELAND SECURITY AT FORT DETRICK, MARYLAND. [Part 1 of 1]",2004,3,"Topic 4: would, operation, air"
The Productivity Hunt;,2004,2,"Topic 3: process, management, business"
IT Portfolio Management,2004,2,"Topic 3: process, management, business"
Pentagon Devises Innovative IT Strategy,2004,1,"Topic 2: system, model, used"
Performance Based Logistics: The New Standard for Acquisition,2004,2,"Topic 3: process, management, business"
Reducing the transport of herbicides and herbicide metabolites from agricultural application zones with vegetated filter strips,2004,1,"Topic 2: system, model, used"
"CONSTRUCTION AND OPERATION OF AN INTEGRATED RESEARCH FACILITY (IRF) BY THE NATIONAL INSTITUTES OF HEALTH (NIH) AT FORT DETRICK, MARYLAND. [Part 1 of 1]",2003,3,"Topic 4: would, operation, air"
"CONSTRUCTION AND OPERATION OF AN INTEGRATED RESEARCH FACILITY (IRF) BY THE NATIONAL INSTITUTES OF HEALTH (NIH) AT FORT DETRICK, MARYLAND. [Part 1 of 1]",2003,3,"Topic 4: would, operation, air"
Oncoming wave of collaboration: IE,2003,2,"Topic 3: process, management, business"
Avondale adds to record take by contractor,2003,2,"Topic 3: process, management, business"
Knowledge and work in context: A case of troubleshooting a complex system across ship and shore,2003,0,"Topic 1: army, organizational, program"
Implications of lateral flow generation on land-surface scheme fluxes,2003,1,"Topic 2: system, model, used"
"GREERS FERRY LAKE SHORELINE MANAGEMENT PLAN, VAN BUREN, CLEBURNE, SCARCY, WHITE, INDEPENDENCE, AND POPE COUNTIES, ARKANSAS. [Part 7 of 8]",2002,3,"Topic 4: would, operation, air"
A definition of high-level decisions in the engineering of systems,2002,1,"Topic 2: system, model, used"
Robust requirements traceability for handling evolutionary and speculative change,2002,1,"Topic 2: system, model, used"
Radar image studies of scattering from random rough surfaces,2002,1,"Topic 2: system, model, used"
Real-time targeting: Myth or reality?,2001,2,"Topic 3: process, management, business"
Reengineering defense transportation processes: Army Logistician,2001,2,"Topic 3: process, management, business"
Total Quality Management and an Application in a Türkish Infantry Battalion,2001,2,"Topic 3: process, management, business"
US cruiseship building restarts after 40 years,2000,2,"Topic 3: process, management, business"
"Swamped With Commercial Business, GD Pauses to Ensure DoD Satisfaction",2000,2,"Topic 3: process, management, business"
"Swamped With Commercial Business, GD Pauses to Ensure DoD Satisfaction",2000,2,"Topic 3: process, management, business"
Effects of Department of Defense acquisition reform on military software development programs,2000,1,"Topic 2: system, model, used"
Applications of the novel spectral acceleration (NSA) algorithm for the computation of scattering from rough surfaces,2000,1,"Topic 2: system, model, used"
Methods for modeling team performance: A case study using a decision support system,2000,1,"Topic 2: system, model, used"
Leading lady,1999,2,"Topic 3: process, management, business"
A study of hospital information systems implementation problems and suggested solutions,1998,0,"Topic 1: army, organizational, program"
The development and use of a process identification model to aid in business process reengineering efforts,1998,2,"Topic 3: process, management, business"
Quality Air Force: One squadron's struggle with TQM,1998,2,"Topic 3: process, management, business"
"Responses to the Quality Mandate by the Non-Commissioned Officers at Hickam Air Force Base, Hawaii",1998,0,"Topic 1: army, organizational, program"
Investigation of the use of viscoelastic damping devices to rehabilitate a lightly reinforced concrete slab-column structure,1998,1,"Topic 2: system, model, used"
COTS--uprating and the government contractor defense,1998,2,"Topic 3: process, management, business"
Standardizing reuse,1997,1,"Topic 2: system, model, used"
Intelligent agents applied to software management,1997,1,"Topic 2: system, model, used"
Environmental construction and TQL: A study of the relationship between the United States Navy environmental construction and Total Quality Leadership programs,1997,2,"Topic 3: process, management, business"
How the Deming Philosophy Transformed the Department of the Navy,1996,2,"Topic 3: process, management, business"
Managing change in the public sector,1996,2,"Topic 3: process, management, business"
Curing the Monday Blues: A U.S. Navy Guide for Structuring Cross-Functional Teams,1996,2,"Topic 3: process, management, business"
Curing the Monday blues: A U.S. Navy guide for structuring cross-functional teams,1996,2,"Topic 3: process, management, business"
Quality Air Force: Attitudes of managers within an Air Force Air Logistics engine production division,1996,0,"Topic 1: army, organizational, program"
Practical drift: The friendly fire shootdown over northern Iraq,1996,0,"Topic 1: army, organizational, program"
"Defense, disasters, and drugs: Understanding policy implementation",1996,0,"Topic 1: army, organizational, program"
Achieving breakthrough improvement through business process reengineering,1996,2,"Topic 3: process, management, business"
The effect of alternative business practices on business cost,1995,1,"Topic 2: system, model, used"
A methodology for the measurement and evaluation of complex system designs,1995,1,"Topic 2: system, model, used"
The impact of work force reductions on those who remain: A study of civilian workers at two Department of Defense bases,1995,0,"Topic 1: army, organizational, program"
TQM and the Pentagon: IE,1994,2,"Topic 3: process, management, business"
Benchmarking data processing installations,1994,2,"Topic 3: process, management, business"
Information processes and shared decision-making: A case study of work teams in a university support service implementing Total Quality Management,1994,2,"Topic 3: process, management, business"
"Organizational learning in the development of doctrine in the United States Army, 1976-1986: A historically based study",1994,0,"Topic 1: army, organizational, program"
The business engineering management implementation process: An approach for unifying the business process reengineering and information engineering disciplines,1994,2,"Topic 3: process, management, business"
An evaluation of the implementation of Total Quality Management in a service organization,1993,0,"Topic 1: army, organizational, program"
Texas Instruments Defense Systems & Electronics Group,1993,1,"Topic 2: system, model, used"
A risk management process for Department of Defense acquisition programs operating in an integrated product development environment,1993,2,"Topic 3: process, management, business"
Roadblocks to Total Quality Management,1992,2,"Topic 3: process, management, business"
Department of the Navy 1992 Posture Statement,1992,0,"Topic 1: army, organizational, program"
Making Government 'Profitable',1992,2,"Topic 3: process, management, business"
